"Orbit.Type","Remarks"
"Lunar",1
"Lunar",1
"SSPO (Sun Synchronous Polar Orbit)",1
"Lunar",1
"SSPO (Sun Synchronous Polar Orbit)",1
"SSPO (Sun Synchronous Polar Orbit)",1
"SSPO (Sun Synchronous Polar Orbit)",1
"SSPO (Sun Synchronous Polar Orbit)",1
"SSPO (Sun Synchronous Polar Orbit)",1
"SSPO (Sun Synchronous Polar Orbit)",1
"SSPO (Sun Synchronous Polar Orbit)",1
"SSPO (Sun Synchronous Polar Orbit)",1
"SSPO (Sun Synchronous Polar Orbit)",1
"SSPO (Sun Synchronous Polar Orbit)",1
"SSPO (Sun Synchronous Polar Orbit)",1
"SSPO (Sun Synchronous Polar Orbit)",1
"SSPO (Sun Synchronous Polar Orbit)",1
"SSPO (Sun Synchronous Polar Orbit)",1
"SSPO (Sun Synchronous Polar Orbit)",1
"SSPO (Sun Synchronous Polar Orbit)",1
"SSPO (Sun Synchronous Polar Orbit)",1
"SSPO (Sun Synchronous Polar Orbit)",1
"SSPO (Sun Synchronous Polar Orbit)",1
"SSPO (Sun Synchronous Polar Orbit)",1
"SSPO (Sun Synchronous Polar Orbit)",1
"Lunar",1
"SSPO (Sun Synchronous Polar Orbit)",1
"SSPO (Sun Synchronous Polar Orbit)",1
"SSPO (Sun Synchronous Polar Orbit)",1
"SSPO (Sun Synchronous Polar Orbit)",1
"SSPO (Sun Synchronous Polar Orbit)",1
"SSPO (Sun Synchronous Polar Orbit)",1
"SSPO (Sun Synchronous Polar Orbit)",1
"SSPO (Sun Synchronous Polar Orbit)",1
"SSPO (Sun Synchronous Polar Orbit)",1
"SSPO (Sun Synchronous Polar Orbit)",1
"SSPO (Sun Synchronous Polar Orbit)",1
"SSPO (Sun Synchronous Polar Orbit)",1
"SSPO (Sun Synchronous Polar Orbit)",1
"SSPO (Sun Synchronous Polar Orbit)",1
"SSPO (Sun Synchronous Polar Orbit)",1
